timestamp,size_bytes,seq,send_ms,channel,dest
2026-02-16T15:43:31,65,55,1771253010972,0,
2026-02-16T15:43:33,65,56,1771253012974,0,
2026-02-16T15:43:35,65,57,1771253014977,0,
2026-02-16T15:43:37,65,58,1771253016979,0,
2026-02-16T15:43:39,65,59,1771253018981,0,
2026-02-16T15:43:41,65,60,1771253020984,0,
2026-02-16T15:43:43,70,61,1771253022987,0,
2026-02-16T15:43:45,70,62,1771253024989,0,
2026-02-16T15:43:47,70,63,1771253026992,0,
2026-02-16T15:43:49,70,64,1771253028994,0,
2026-02-16T15:43:51,70,65,1771253030996,0,
2026-02-16T15:43:53,70,66,1771253032998,0,
2026-02-16T15:43:56,70,67,1771253035001,0,
2026-02-16T15:43:58,70,68,1771253037004,0,
2026-02-16T15:44:00,70,69,1771253039007,0,
2026-02-16T15:44:02,70,70,1771253041010,0,
2026-02-16T15:44:04,75,71,1771253043013,0,
2026-02-16T15:44:06,75,72,1771253045016,0,
2026-02-16T15:44:08,75,73,1771253047019,0,
2026-02-16T15:44:10,75,74,1771253049022,0,
2026-02-16T15:44:12,75,75,1771253051024,0,
2026-02-16T15:44:14,75,76,1771253053027,0,
2026-02-16T15:44:16,75,77,1771253055029,0,
2026-02-16T15:44:18,75,78,1771253057031,0,
2026-02-16T15:44:20,75,79,1771253059033,0,
2026-02-16T15:44:22,75,80,1771253061036,0,
2026-02-16T15:44:24,80,81,1771253063038,0,
2026-02-16T15:44:26,80,82,1771253065041,0,
2026-02-16T15:44:28,80,83,1771253067044,0,
2026-02-16T15:44:30,80,84,1771253069046,0,
2026-02-16T15:44:32,80,85,1771253071048,0,
2026-02-16T15:44:34,80,86,1771253073051,0,
2026-02-16T15:44:36,80,87,1771253075054,0,
2026-02-16T15:44:38,80,88,1771253077056,0,
2026-02-16T15:44:40,80,89,1771253079059,0,
2026-02-16T15:44:42,80,90,1771253081061,0,
2026-02-16T15:44:44,85,91,1771253083064,0,
2026-02-16T15:44:46,85,92,1771253085066,0,
2026-02-16T15:44:48,85,93,1771253087070,0,
2026-02-16T15:44:50,85,94,1771253089072,0,
2026-02-16T15:44:52,85,95,1771253091075,0,
2026-02-16T15:44:54,85,96,1771253093077,0,
2026-02-16T15:44:56,85,97,1771253095080,0,
2026-02-16T15:44:58,85,98,1771253097082,0,
2026-02-16T15:45:00,85,99,1771253099085,0,
2026-02-16T15:45:02,85,100,1771253101087,0,
2026-02-16T15:45:04,90,101,1771253103100,0,
2026-02-16T15:45:06,90,102,1771253105102,0,
2026-02-16T15:45:08,90,103,1771253107104,0,
2026-02-16T15:45:10,90,104,1771253109107,0,
2026-02-16T15:45:12,90,105,1771253111110,0,
2026-02-16T15:45:14,90,106,1771253113113,0,
2026-02-16T15:45:16,90,107,1771253115116,0,
2026-02-16T15:45:18,90,108,1771253117118,0,
2026-02-16T15:45:20,90,109,1771253119121,0,
2026-02-16T15:45:22,90,110,1771253121123,0,
2026-02-16T15:45:24,95,111,1771253123126,0,
2026-02-16T15:45:26,95,112,1771253125129,0,
2026-02-16T15:45:28,95,113,1771253127131,0,
2026-02-16T15:45:30,95,114,1771253129134,0,
2026-02-16T15:45:32,95,115,1771253131137,0,
2026-02-16T15:45:34,95,116,1771253133139,0,
2026-02-16T15:45:36,95,117,1771253135142,0,
2026-02-16T15:45:38,95,118,1771253137144,0,
2026-02-16T15:45:40,95,119,1771253139147,0,
2026-02-16T15:45:42,95,120,1771253141150,0,
2026-02-16T15:45:44,100,121,1771253143152,0,
2026-02-16T15:45:46,100,122,1771253145155,0,
2026-02-16T15:45:48,100,123,1771253147158,0,
2026-02-16T15:45:50,100,124,1771253149160,0,
2026-02-16T15:45:52,100,125,1771253151163,0,
2026-02-16T15:45:54,100,126,1771253153165,0,
2026-02-16T15:45:56,100,127,1771253155168,0,
2026-02-16T15:45:58,100,128,1771253157171,0,
2026-02-16T15:46:00,100,129,1771253159173,0,
2026-02-16T15:46:02,100,130,1771253161176,0,
2026-02-16T15:46:04,105,131,1771253163179,0,
2026-02-16T15:46:06,105,132,1771253165181,0,
2026-02-16T15:46:08,105,133,1771253167184,0,
2026-02-16T15:46:10,105,134,1771253169187,0,
2026-02-16T15:46:12,105,135,1771253171190,0,
2026-02-16T15:46:14,105,136,1771253173192,0,
2026-02-16T15:46:16,105,137,1771253175194,0,
2026-02-16T15:46:18,105,138,1771253177198,0,
2026-02-16T15:46:20,105,139,1771253179201,0,
2026-02-16T15:46:22,105,140,1771253181203,0,
2026-02-16T15:46:24,110,141,1771253183206,0,
2026-02-16T15:46:26,110,142,1771253185209,0,
2026-02-16T15:46:28,110,143,1771253187211,0,
2026-02-16T15:46:30,110,144,1771253189213,0,
2026-02-16T15:46:32,110,145,1771253191216,0,
2026-02-16T15:46:34,110,146,1771253193219,0,
2026-02-16T15:46:36,110,147,1771253195222,0,
2026-02-16T15:46:38,110,148,1771253197224,0,
2026-02-16T15:46:40,110,149,1771253199227,0,
2026-02-16T15:46:42,110,150,1771253201230,0,
2026-02-16T15:46:44,115,151,1771253203232,0,
2026-02-16T15:46:46,115,152,1771253205234,0,
2026-02-16T15:46:48,115,153,1771253207237,0,
2026-02-16T15:46:50,115,154,1771253209240,0,
2026-02-16T15:46:52,115,155,1771253211242,0,
2026-02-16T15:46:54,115,156,1771253213245,0,
2026-02-16T15:46:56,115,157,1771253215246,0,
2026-02-16T15:46:58,115,158,1771253217250,0,
2026-02-16T15:47:00,115,159,1771253219252,0,
2026-02-16T15:47:02,115,160,1771253221254,0,
2026-02-16T15:47:04,120,161,1771253223257,0,
2026-02-16T15:47:06,120,162,1771253225260,0,
2026-02-16T15:47:08,120,163,1771253227263,0,
2026-02-16T15:47:10,120,164,1771253229267,0,
2026-02-16T15:47:12,120,165,1771253231269,0,
2026-02-16T15:47:14,120,166,1771253233271,0,
2026-02-16T15:47:16,120,167,1771253235274,0,
2026-02-16T15:47:18,120,168,1771253237276,0,
2026-02-16T15:47:20,120,169,1771253239278,0,
2026-02-16T15:47:22,120,170,1771253241281,0,
2026-02-16T15:47:24,125,171,1771253243283,0,
2026-02-16T15:47:26,125,172,1771253245285,0,
2026-02-16T15:47:28,125,173,1771253247289,0,
2026-02-16T15:47:30,125,174,1771253249291,0,
2026-02-16T15:47:32,125,175,1771253251294,0,
2026-02-16T15:47:34,125,176,1771253253296,0,
2026-02-16T15:47:36,125,177,1771253255299,0,
2026-02-16T15:47:38,125,178,1771253257301,0,
2026-02-16T15:47:40,125,179,1771253259304,0,
2026-02-16T15:47:42,125,180,1771253261307,0,
2026-02-16T15:47:44,130,181,1771253263309,0,
2026-02-16T15:47:46,130,182,1771253265312,0,
2026-02-16T15:47:48,130,183,1771253267314,0,
2026-02-16T15:47:50,130,184,1771253269317,0,
2026-02-16T15:47:52,130,185,1771253271319,0,
2026-02-16T15:47:54,130,186,1771253273322,0,
2026-02-16T15:47:56,130,187,1771253275324,0,
2026-02-16T15:47:58,130,188,1771253277327,0,
2026-02-16T15:48:00,130,189,1771253279329,0,
2026-02-16T15:48:02,130,190,1771253281332,0,
2026-02-16T15:48:04,135,191,1771253283335,0,
2026-02-16T15:48:06,135,192,1771253285338,0,
2026-02-16T15:48:08,135,193,1771253287340,0,
2026-02-16T15:48:10,135,194,1771253289342,0,
2026-02-16T15:48:12,135,195,1771253291345,0,
